<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,CMG,40350,40650,40350,40500,28100
05/24/2023,CMG,40700,40750,40000,40750,177300
05/25/2023,CMG,40300,40700,40200,40700,17500
05/26/2023,CMG,40950,40950,40200,40500,66700
05/29/2023,CMG,40500,41300,40250,41150,103900
05/30/2023,CMG,40700,41300,40550,41000,67600
05/31/2023,CMG,41300,41300,40800,40850,25800
06/01/2023,CMG,40800,41000,40500,41000,43500
06/02/2023,CMG,41000,41200,40800,41200,61000
06/05/2023,CMG,41200,44050,41200,44050,207100
06/06/2023,CMG,46500,46500,43950,45700,50200
06/07/2023,CMG,44200,46000,43600,45500,24400
06/08/2023,CMG,44100,44900,43600,44500,25000
06/09/2023,CMG,43700,45500,43000,45500,89200
06/12/2023,CMG,45800,45800,44250,45500,26200
06/13/2023,CMG,45500,45500,44400,44900,37200
06/14/2023,CMG,45000,45400,44000,44800,17800
06/15/2023,CMG,44800,45000,43600,45000,47800
06/16/2023,CMG,45000,45500,44400,45500,51800
06/19/2023,CMG,45500,45500,45000,45350,24400
06/20/2023,CMG,45000,46000,44600,46000,33300
06/21/2023,CMG,46000,46000,44500,45800,115200
06/22/2023,CMG,45600,45950,44500,45500,24300
06/23/2023,CMG,45450,45450,44600,45300,6400
06/26/2023,CMG,44300,48350,44000,48350,46800
06/27/2023,CMG,45600,47550,45600,47550,28800
06/28/2023,CMG,45600,47500,45600,47000,44000
06/29/2023,CMG,47000,47000,46000,46450,18000
06/30/2023,CMG,46700,46700,46000,46200,29400
07/03/2023,CMG,46800,46800,45800,46400,33000
07/04/2023,CMG,46400,46700,46000,46700,33600
07/05/2023,CMG,47300,47300,46000,46950,110100
07/06/2023,CMG,47500,47500,46000,46800,45600
07/07/2023,CMG,46100,46900,46000,46900,27400
07/10/2023,CMG,47450,47450,46000,46800,120000
07/11/2023,CMG,46600,47500,46600,47250,105000
07/12/2023,CMG,47550,48000,46500,47700,121400
07/13/2023,CMG,46650,48500,46650,48150,74200
07/14/2023,CMG,48100,48100,47500,48000,21900
07/17/2023,CMG,48500,48500,47500,48200,39200
07/18/2023,CMG,48100,48500,46100,48500,84200
07/19/2023,CMG,48450,48500,47300,48450,39500
07/20/2023,CMG,48000,48300,47600,48100,23700
07/21/2023,CMG,48100,48100,47200,47900,75500
07/24/2023,CMG,47900,48500,47350,47850,102300
07/25/2023,CMG,47900,48000,47400,47400,93600
07/26/2023,CMG,47400,47450,47000,47200,72900
07/27/2023,CMG,47500,48000,47200,47800,295300
07/28/2023,CMG,48000,48300,46400,48300,171100
07/31/2023,CMG,48500,49100,48000,49050,161100
08/01/2023,CMG,49500,49500,48500,49050,182500
08/02/2023,CMG,49050,49600,47400,49500,193500
08/03/2023,CMG,48300,49250,48150,49000,143500
08/04/2023,CMG,49300,49300,48450,49200,103100
08/07/2023,CMG,49500,49800,48100,49400,210100
08/08/2023,CMG,48650,49600,48400,49200,44600
08/09/2023,CMG,48500,49200,47000,49000,64100
08/10/2023,CMG,48900,48900,48000,48900,54600
08/11/2023,CMG,48500,49000,48400,49000,34500
08/14/2023,CMG,48500,49000,48400,48800,55400
08/15/2023,CMG,48950,49000,48300,48950,76400
08/16/2023,CMG,48950,49100,48450,49050,75800
08/17/2023,CMG,49250,49250,48500,48500,134400
08/18/2023,CMG,48250,48350,46600,48000,135700
08/21/2023,CMG,46300,48500,46300,48500,55500
08/22/2023,CMG,48500,49300,46800,49300,40600
08/23/2023,CMG,48500,48950,48000,48950,74800
08/24/2023,CMG,48300,50400,47500,49500,253700
08/25/2023,CMG,49000,50000,48200,49900,111500
08/28/2023,CMG,49700,50500,49700,50200,283800
08/29/2023,CMG,50300,51100,50200,50400,222800
08/30/2023,CMG,50300,50500,48000,50500,260200
08/31/2023,CMG,50600,50700,50000,50600,170800
09/05/2023,CMG,50600,51000,49000,50800,128400
09/06/2023,CMG,51000,51000,49700,50700,159000
09/07/2023,CMG,50700,50700,49800,50100,78700
09/08/2023,CMG,50100,50900,48200,50500,199800
09/11/2023,CMG,50500,50800,49400,50100,52100
09/12/2023,CMG,49550,50600,48000,50600,476300
09/13/2023,CMG,50600,50600,49800,49800,53700
09/14/2023,CMG,49800,50000,48000,49500,502800
09/15/2023,CMG,49550,49800,48800,49800,36100
09/18/2023,CMG,49100,49100,48500,48800,14100
09/19/2023,CMG,48150,49450,48050,49450,92500
09/20/2023,CMG,51500,51500,48500,48900,60900
09/21/2023,CMG,48900,48900,48400,48800,47000
09/22/2023,CMG,48800,49200,47000,49000,216900
09/25/2023,CMG,49000,49250,48050,48600,63400
09/26/2023,CMG,48000,48800,48000,48100,21700
09/27/2023,CMG,48100,48800,47200,48800,29300
09/28/2023,CMG,47400,48750,47150,48000,93200
09/29/2023,CMG,47600,48100,47000,47800,35700
10/02/2023,CMG,48050,48300,47000,47800,66800
10/03/2023,CMG,47800,47800,46500,47100,93600
10/04/2023,CMG,46000,47500,44500,47500,264000
10/05/2023,CMG,48300,48300,46100,47200,17700
10/06/2023,CMG,46900,47500,46500,47500,28200
10/09/2023,CMG,47250,48350,47000,48200,65600
10/10/2023,CMG,47600,49000,46500,48850,124200
10/11/2023,CMG,47700,49300,47700,49000,45900
10/12/2023,CMG,49200,50400,47900,50400,151000
10/13/2023,CMG,50000,50000,48550,49950,47400
10/16/2023,CMG,49000,49950,47000,48500,94700
10/17/2023,CMG,49000,49000,47650,48500,34100
10/18/2023,CMG,48500,48500,45500,47900,112600
10/19/2023,CMG,47700,48000,46400,47900,66500
10/20/2023,CMG,47900,47900,46600,47700,22300
10/23/2023,CMG,47000,47000,46300,47000,92000
10/24/2023,CMG,46200,47000,45000,46000,167600
10/25/2023,CMG,47350,47350,46000,46600,20000
10/26/2023,CMG,45550,45850,44000,44050,228800
10/27/2023,CMG,44100,45300,44100,44900,14200
10/30/2023,CMG,44100,45000,44100,44750,121900
10/31/2023,CMG,43500,44500,42900,43500,111900
11/01/2023,CMG,43000,43500,40900,43500,75200
11/02/2023,CMG,43550,44450,43200,44450,96600
11/03/2023,CMG,44100,44750,44000,44750,129800
11/06/2023,CMG,45500,45500,44200,45000,31900
11/07/2023,CMG,45100,46000,45100,46000,60800
11/08/2023,CMG,46050,46800,46000,46500,42400
11/09/2023,CMG,47050,47050,46200,46700,43100
11/10/2023,CMG,47000,47000,45600,46450,121600
11/13/2023,CMG,46200,46800,46200,46250,173000
11/14/2023,CMG,46250,47400,46000,47400,229000
11/15/2023,CMG,48000,48000,47300,47300,115800
11/16/2023,CMG,47700,47700,47050,47500,101800
11/17/2023,CMG,47600,48000,47050,47450,35600
11/20/2023,CMG,47300,48000,47100,47300,58900
11/21/2023,CMG,47950,49500,46500,49500,366800
11/22/2023,CMG,49500,49800,49000,49450,43600
11/23/2023,CMG,49650,49650,47900,48050,77400
11/24/2023,CMG,48050,48800,47550,48800,67400
11/27/2023,CMG,48800,48800,48050,48700,80000
11/28/2023,CMG,48950,48950,48200,48750,63900
11/29/2023,CMG,49000,49200,48200,48950,644100
11/30/2023,CMG,49200,49200,46500,48900,200300
12/01/2023,CMG,48900,48900,48000,48800,78300
12/04/2023,CMG,48750,48800,47900,48400,185900
12/05/2023,CMG,37900,38500,37550,38250,87800
12/06/2023,CMG,38250,39150,38250,39000,151000
12/07/2023,CMG,39000,39250,37900,38600,320500
12/08/2023,CMG,38900,38950,38050,38950,229500
12/11/2023,CMG,38350,38950,38300,38850,44500
12/12/2023,CMG,38300,39000,38300,39000,340100
12/13/2023,CMG,39050,39050,37000,38900,265900
12/14/2023,CMG,38400,39000,38350,38900,148000
12/15/2023,CMG,38900,39000,38600,39000,326000
12/18/2023,CMG,39000,39100,38600,39100,83700
12/19/2023,CMG,38900,38900,38150,38900,26100
12/20/2023,CMG,38950,39000,38300,38900,12800
12/21/2023,CMG,38700,39200,38500,39150,36400
12/22/2023,CMG,39150,40000,37000,39600,254200
12/25/2023,CMG,39550,40400,39550,40400,165400
12/26/2023,CMG,41400,41400,40400,41000,174000
12/27/2023,CMG,41250,41250,38200,41000,319800
12/28/2023,CMG,41000,41500,38500,41200,581600
12/29/2023,CMG,41200,43500,38800,43500,881900
01/02/2024,CMG,43500,44450,43500,44100,147700
01/03/2024,CMG,45400,45400,43600,44150,141500
01/04/2024,CMG,44800,44800,43500,43850,88200
01/05/2024,CMG,44350,44350,42800,43000,89800
01/08/2024,CMG,42950,42950,40000,41450,399400
01/09/2024,CMG,41500,41500,40850,41200,99300
01/10/2024,CMG,40850,41400,40850,41350,84500
01/11/2024,CMG,41000,41150,40300,40850,286600
01/12/2024,CMG,40800,40800,40050,40500,150600
01/15/2024,CMG,40200,40450,38000,40200,390200
01/16/2024,CMG,40300,40500,39700,40500,56800
01/17/2024,CMG,40450,40600,39850,40000,181100
01/18/2024,CMG,39700,39950,39500,39500,228400
01/19/2024,CMG,39600,40300,37400,40000,419100
01/22/2024,CMG,40300,40300,39650,40000,166800
01/23/2024,CMG,40000,40000,38950,39250,149500
01/24/2024,CMG,38850,39350,37550,39250,265300
01/25/2024,CMG,39250,39250,38900,39200,73100
01/26/2024,CMG,39000,39950,39000,39900,122400
01/29/2024,CMG,39900,39950,39500,39750,58700
01/30/2024,CMG,39400,40000,39200,40000,64200
01/31/2024,CMG,39200,39950,39200,39900,120900
02/01/2024,CMG,39300,41200,39300,40900,121400
02/02/2024,CMG,40900,42000,40350,42000,144500
02/05/2024,CMG,41800,41950,41200,41850,60000
02/06/2024,CMG,41150,41300,40650,40950,136600
02/07/2024,CMG,40900,40950,39050,40750,167600
02/15/2024,CMG,40500,40700,40000,40700,104800
02/16/2024,CMG,40500,40600,40050,40450,121800
02/19/2024,CMG,40500,40600,39050,40500,180000
02/20/2024,CMG,40350,40450,40100,40450,203500
02/21/2024,CMG,40500,40500,40000,40200,88700
02/22/2024,CMG,40200,40200,39750,40100,72300
02/23/2024,CMG,40050,40200,39750,39900,80200
02/26/2024,CMG,39900,40200,39500,40000,102000
02/27/2024,CMG,40000,40200,39400,40200,135100
02/28/2024,CMG,40200,40200,39600,40000,177200
02/29/2024,CMG,40000,40000,37600,39950,347700
03/01/2024,CMG,39950,41700,39950,41200,260600
03/04/2024,CMG,41100,41100,40800,40800,379300
03/05/2024,CMG,40500,41250,38450,41250,605100
03/06/2024,CMG,41250,41250,40300,41000,77800
03/07/2024,CMG,40800,40800,40150,40350,114300
03/08/2024,CMG,40300,40300,39500,39800,184900
03/11/2024,CMG,39800,39800,38050,39200,463800
03/12/2024,CMG,39000,40950,38050,40600,528800
03/13/2024,CMG,40950,42800,40850,41950,386500
03/14/2024,CMG,41950,41950,40500,41650,247300
03/15/2024,CMG,41650,41650,40000,41500,219900
03/18/2024,CMG,41450,41450,39700,40950,205300
03/19/2024,CMG,40700,40700,39650,39700,187700
03/20/2024,CMG,39800,40050,39200,40050,139300
03/21/2024,CMG,40000,40000,38100,39800,1093500
03/22/2024,CMG,39600,40400,38500,40000,292400
03/25/2024,CMG,40000,40400,39200,39300,111800
03/26/2024,CMG,39300,40600,38900,40150,1049400
03/27/2024,CMG,40150,40250,39600,40150,169800
03/28/2024,CMG,40000,40450,40000,40450,195300
03/29/2024,CMG,40450,40450,39600,39950,133900
04/01/2024,CMG,39950,40200,39500,40200,335100
04/02/2024,CMG,40200,40250,39800,40150,215900
04/03/2024,CMG,40100,42950,40000,42950,987200
04/04/2024,CMG,45000,45950,44850,45950,1958400
04/05/2024,CMG,45500,49000,45500,47300,851900
04/08/2024,CMG,46500,49500,44000,45050,1096400
04/09/2024,CMG,45050,48200,45050,48000,580800
04/10/2024,CMG,48500,49000,47400,48900,720400
04/11/2024,CMG,48500,48500,47550,48100,334100
04/12/2024,CMG,48500,49300,47200,49300,600100
04/15/2024,CMG,49500,49500,45850,45850,1204600
04/16/2024,CMG,45500,45850,42800,45850,865400
04/17/2024,CMG,45800,46300,43900,44150,683500
04/19/2024,CMG,43250,43300,41100,41550,1720600
04/22/2024,CMG,42400,42750,41750,42350,262500
