<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,DBC,18600,19200,18500,19200,9215100
05/24/2023,DBC,19300,19500,18750,19200,6530300
05/25/2023,DBC,19200,19350,18850,18850,5228200
05/26/2023,DBC,18850,19300,18600,19300,4554000
05/29/2023,DBC,19550,19550,18950,19100,4085400
05/30/2023,DBC,19300,19300,18400,19000,6138100
05/31/2023,DBC,19100,20000,18900,20000,7623300
06/01/2023,DBC,20100,20200,19550,19600,4293700
06/02/2023,DBC,19700,20250,19500,19800,9046400
06/05/2023,DBC,20000,20000,19100,19150,6579400
06/06/2023,DBC,19400,19600,19150,19450,3897500
06/07/2023,DBC,19450,20050,19400,19650,5156500
06/08/2023,DBC,19700,20400,19600,19650,8991700
06/09/2023,DBC,20000,20000,18800,19300,6597800
06/12/2023,DBC,19650,19650,18450,19000,6259200
06/13/2023,DBC,19300,19550,19150,19150,3609700
06/14/2023,DBC,19300,19450,19000,19000,3938000
06/15/2023,DBC,19200,20300,19150,20300,12301800
06/16/2023,DBC,20850,20850,20000,20250,6323800
06/19/2023,DBC,20300,20950,20300,20850,7099900
06/20/2023,DBC,21200,21250,20550,21250,6954400
06/21/2023,DBC,21450,21850,21050,21100,10251900
06/22/2023,DBC,21200,21500,21100,21250,5511900
06/23/2023,DBC,21500,21650,20950,21050,6697900
06/26/2023,DBC,21300,21700,20000,21700,9213000
06/27/2023,DBC,22100,22200,21450,21500,6890000
06/28/2023,DBC,21800,21900,21200,21900,6000900
06/29/2023,DBC,22000,22000,21000,21000,5471700
06/30/2023,DBC,21100,21450,21050,21300,3909300
07/03/2023,DBC,21500,21750,21200,21350,3990700
07/04/2023,DBC,21700,22800,21500,22800,13559600
07/05/2023,DBC,23250,23450,22850,23250,7821100
07/06/2023,DBC,23550,24000,22750,24000,10973700
07/07/2023,DBC,24100,24650,23650,24450,7701900
07/10/2023,DBC,24600,24600,24100,24300,7193600
07/11/2023,DBC,24350,26000,24200,25700,8129900
07/12/2023,DBC,25900,26000,25400,25400,4735700
07/13/2023,DBC,25500,26300,25350,26150,6550400
07/14/2023,DBC,26450,26450,25500,26000,7468600
07/17/2023,DBC,26000,26200,25100,25300,5317700
07/18/2023,DBC,25400,25700,24950,24950,9146900
07/19/2023,DBC,25000,25450,24700,25100,6843100
07/20/2023,DBC,25200,25300,24800,24850,6939100
07/21/2023,DBC,25000,26250,24900,26050,11199000
07/24/2023,DBC,26100,26250,25350,25400,8011100
07/25/2023,DBC,25600,25700,24950,25150,8201600
07/26/2023,DBC,25150,26000,25100,26000,7552400
07/27/2023,DBC,26200,26250,25200,25400,7967800
