<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,FPT,82500,82500,81400,82000,656500
05/24/2023,FPT,82000,82100,81100,81300,464300
05/25/2023,FPT,81200,83400,81000,83200,1341300
05/26/2023,FPT,83100,83400,82300,83100,864400
05/29/2023,FPT,83500,83700,82900,83100,879600
05/30/2023,FPT,83000,84900,82900,84000,1659100
05/31/2023,FPT,84200,84200,83100,84100,839400
06/01/2023,FPT,84000,84000,83100,83500,537300
06/02/2023,FPT,83500,84300,83100,83800,735900
06/05/2023,FPT,83900,85200,83800,85000,1425500
06/06/2023,FPT,85300,85300,84700,85300,514000
06/07/2023,FPT,85000,85400,84300,85000,705800
06/08/2023,FPT,84700,84900,83500,83600,1244500
06/09/2023,FPT,84300,84700,83700,84600,680200
06/12/2023,FPT,84500,84900,83600,84900,519700
06/13/2023,FPT,84400,84900,84300,84400,466800
06/14/2023,FPT,84300,84800,84100,84200,658600
06/15/2023,FPT,84200,84400,83600,84100,798600
06/16/2023,FPT,84100,86200,83400,84500,2231500
06/19/2023,FPT,84700,85500,84500,84700,663200
06/20/2023,FPT,85000,85800,84700,85500,944500
06/21/2023,FPT,85500,86400,85400,85800,705800
06/22/2023,FPT,86100,86500,84700,85500,1019700
06/23/2023,FPT,85600,85600,84800,85100,822000
06/26/2023,FPT,85100,85800,84600,85800,859400
06/27/2023,FPT,86000,87300,86000,87300,1540400
06/28/2023,FPT,87400,87800,87000,87000,964900
06/29/2023,FPT,87000,87100,86500,86500,562400
06/30/2023,FPT,86500,86600,86000,86000,733500
07/03/2023,FPT,86500,86800,86000,86400,1039600
07/04/2023,FPT,86400,87000,86200,87000,1328100
07/05/2023,FPT,75100,76500,74800,74800,1787300
07/06/2023,FPT,74800,75200,74000,74600,1517000
07/07/2023,FPT,74200,75500,74200,75300,896300
07/10/2023,FPT,75300,75900,74900,75300,1154300
07/11/2023,FPT,75300,75400,75000,75000,1091300
07/12/2023,FPT,75000,75700,74900,75300,904900
07/13/2023,FPT,75800,75800,75400,75800,1252400
07/14/2023,FPT,76900,78300,76100,78300,2822800
07/17/2023,FPT,79000,79200,78500,79000,1153300
07/18/2023,FPT,79000,79000,78100,78700,718300
07/19/2023,FPT,78500,78900,78300,78500,708600
07/20/2023,FPT,78600,81300,78500,80300,2294300
07/21/2023,FPT,79700,81000,79600,81000,1273600
07/24/2023,FPT,81000,81300,80600,81000,1172700
07/25/2023,FPT,81000,82200,81000,81300,1056900
07/26/2023,FPT,81200,82700,81100,82700,1270800
07/27/2023,FPT,82800,84400,82800,83700,1417700
07/28/2023,FPT,83500,84400,83100,84400,898400
07/31/2023,FPT,84700,85800,84400,85600,1471500
08/01/2023,FPT,85600,86300,84500,84500,1287300
08/02/2023,FPT,84500,84800,83500,83500,996300
08/03/2023,FPT,83800,84200,82900,83700,907900
08/04/2023,FPT,84000,84500,83300,83300,1618900
08/07/2023,FPT,83600,84500,83300,84500,752500
08/08/2023,FPT,84000,84600,83800,84200,636000
08/09/2023,FPT,84000,84700,83000,83100,982700
08/10/2023,FPT,83100,83300,82200,82200,1343300
08/11/2023,FPT,82000,83000,81500,82000,1142900
08/14/2023,FPT,82100,83200,82000,82600,1014100
08/15/2023,FPT,82600,84300,81500,84000,1675600
08/16/2023,FPT,83200,85200,83200,85100,2595400
08/17/2023,FPT,85000,87200,85000,86000,3693800
08/18/2023,FPT,85600,87900,84300,85500,4243700
08/21/2023,FPT,85900,86700,85500,85900,2452800
08/22/2023,FPT,86300,86500,83000,86500,2330300
08/23/2023,FPT,86400,86800,84700,86500,1418500
08/24/2023,FPT,85500,90100,85100,90000,5251600
08/25/2023,FPT,89500,91000,89100,90600,2791400
08/28/2023,FPT,92000,94300,91000,94000,2950700
08/29/2023,FPT,94000,94000,92800,93600,1547400
08/30/2023,FPT,93200,98200,93100,96600,2360700
08/31/2023,FPT,96600,97500,96100,96700,1403700
09/05/2023,FPT,97100,98700,96800,96800,1439600
09/06/2023,FPT,97100,99000,96300,99000,2491000
09/07/2023,FPT,99000,100800,97600,97900,3249600
09/08/2023,FPT,97500,98500,97000,97600,2115600
09/11/2023,FPT,98700,99500,95300,97400,5149800
09/12/2023,FPT,97400,98900,97400,98900,2680700
09/13/2023,FPT,98900,99000,97400,98000,2889300
09/14/2023,FPT,98000,98000,95500,95900,2319700
09/15/2023,FPT,96000,97800,95300,97500,2134800
09/18/2023,FPT,96900,96900,95700,96900,2026900
09/19/2023,FPT,96800,98400,95900,98400,3583600
09/20/2023,FPT,98800,99700,98500,98500,2444800
09/21/2023,FPT,98500,98900,96300,96800,3419000
09/22/2023,FPT,95100,97000,92600,96700,6861000
09/25/2023,FPT,97000,97600,94300,94300,2097100
