<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,MBB,18900,19000,18700,18750,7433100
05/24/2023,MBB,18800,18850,18550,18600,5545300
05/25/2023,MBB,18600,18600,18450,18450,4734100
05/26/2023,MBB,18500,18500,18400,18450,3904600
05/29/2023,MBB,18600,18750,18500,18750,5967700
05/30/2023,MBB,18800,18850,18650,18750,6586200
05/31/2023,MBB,18800,18850,18600,18600,6883600
06/01/2023,MBB,18600,18800,18550,18800,8436200
06/02/2023,MBB,19100,19850,19050,19700,32990200
06/05/2023,MBB,19900,20100,19750,19800,19459500
06/06/2023,MBB,19900,20450,19800,20450,22794800
06/07/2023,MBB,20450,20550,20250,20350,13438700
06/08/2023,MBB,20350,20450,20000,20000,13684000
06/09/2023,MBB,20100,20250,20000,20250,10356300
06/12/2023,MBB,20300,20400,20000,20350,8998800
06/13/2023,MBB,20400,20400,20150,20300,10597200
06/14/2023,MBB,20100,20200,19750,19750,10935300
06/15/2023,MBB,19750,19850,19650,19700,9499700
06/16/2023,MBB,19850,20200,19700,19700,13940800
06/19/2023,MBB,19700,19800,19550,19550,7035800
06/20/2023,MBB,19600,19650,19450,19650,5486900
06/21/2023,MBB,19700,19850,19650,19850,6046900
06/22/2023,MBB,20100,20350,19900,19900,14809200
06/23/2023,MBB,20150,20300,20050,20200,12309000
06/26/2023,MBB,20200,20550,19950,20200,10578300
06/27/2023,MBB,20250,20300,20000,20100,10740400
06/28/2023,MBB,20200,20800,20100,20700,20851400
06/29/2023,MBB,20700,20700,20300,20300,14003400
06/30/2023,MBB,20300,20400,20150,20200,6684900
07/03/2023,MBB,20300,20350,20100,20200,9793600
07/04/2023,MBB,20200,20350,20100,20350,6877800
07/05/2023,MBB,20500,20650,20300,20400,12998200
07/06/2023,MBB,20450,20550,20150,20200,15187700
07/07/2023,MBB,20200,20450,20100,20450,11916900
07/10/2023,MBB,20600,20850,20550,20750,16787800
07/11/2023,MBB,20750,21200,20750,21200,17352800
07/12/2023,MBB,21200,21300,20900,21000,13112300
07/13/2023,MBB,21050,21250,20900,21100,17942000
07/14/2023,MBB,18650,18750,18400,18650,18525700
07/17/2023,MBB,18750,18850,18500,18600,11006300
07/18/2023,MBB,18600,18650,18450,18600,7522800
07/19/2023,MBB,18600,18700,18400,18400,11684700
07/20/2023,MBB,18400,18500,18300,18450,6450600
07/21/2023,MBB,18550,18650,18400,18650,8385700
07/24/2023,MBB,18650,18750,18550,18750,8951300
07/25/2023,MBB,18750,19100,18700,18800,9542500
07/26/2023,MBB,18800,18850,18650,18750,5932000
07/27/2023,MBB,18750,18800,18500,18600,9462200
07/28/2023,MBB,18550,18700,18550,18700,7023300
07/31/2023,MBB,18850,18900,18700,18850,9975800
08/01/2023,MBB,18900,19350,18850,18850,14322700
08/02/2023,MBB,18850,18950,18750,18900,6157300
08/03/2023,MBB,18950,19100,18800,18850,11080500
08/04/2023,MBB,18850,19150,18800,19000,14888400
08/07/2023,MBB,19150,19400,19050,19350,15213700
08/08/2023,MBB,19500,19500,19150,19200,9235400
08/09/2023,MBB,19200,19250,19000,19150,10704200
08/10/2023,MBB,19200,19200,18900,18900,9206500
08/11/2023,MBB,19000,19050,18650,18900,8673900
08/14/2023,MBB,18950,19100,18750,18950,8091000
08/15/2023,MBB,18950,19000,18800,18950,5612500
08/16/2023,MBB,18900,19200,18800,19000,9752400
08/17/2023,MBB,19000,19000,18850,18850,7913000
08/18/2023,MBB,18800,18800,17900,18100,22006600
08/21/2023,MBB,18000,18350,17850,18150,9217300
08/22/2023,MBB,18300,18300,17750,18200,8055700
08/23/2023,MBB,18300,18300,18000,18000,5796400
08/24/2023,MBB,18100,18350,18000,18250,6694700
08/25/2023,MBB,18200,18200,18100,18100,4769800
08/28/2023,MBB,18250,18300,18050,18200,7012700
08/29/2023,MBB,18250,18350,18150,18250,9455200
08/30/2023,MBB,18300,18500,18250,18400,6958400
08/31/2023,MBB,18400,18550,18400,18500,6532600
09/05/2023,MBB,18600,19250,18550,19150,21471900
09/06/2023,MBB,19200,19250,18900,19250,13817100
09/07/2023,MBB,19250,19600,19150,19300,22260900
09/08/2023,MBB,19300,19350,19100,19100,11166600
09/11/2023,MBB,19350,19350,18750,18750,15039500
09/12/2023,MBB,18850,19250,18750,19250,10919700
