<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,MSN,72000,72000,70200,70400,2296900
05/24/2023,MSN,70900,71900,70000,71800,951300
05/25/2023,MSN,71800,72500,70800,72000,740000
05/26/2023,MSN,71800,72100,71400,72000,757500
05/29/2023,MSN,72100,72200,71400,71600,483800
05/30/2023,MSN,71600,73200,71600,72800,946700
05/31/2023,MSN,72900,73500,72000,72000,718500
06/01/2023,MSN,72000,72200,71500,71800,326400
06/02/2023,MSN,72000,72700,71800,72300,936100
06/05/2023,MSN,73000,74700,72800,74100,2010900
06/06/2023,MSN,74000,74600,73500,73600,1265200
06/07/2023,MSN,74200,75700,73500,75500,2296600
06/08/2023,MSN,76300,76400,74300,74400,1251100
06/09/2023,MSN,75000,76900,74200,76500,2410700
06/12/2023,MSN,77000,78400,76600,78400,2600400
06/13/2023,MSN,78600,78800,77900,78800,1699700
06/14/2023,MSN,78800,79400,77800,78000,2339300
06/15/2023,MSN,78000,78100,76700,77100,1224800
06/16/2023,MSN,77500,77600,75400,76600,2124500
06/19/2023,MSN,76500,76500,74500,74500,1152200
06/20/2023,MSN,74300,75300,74300,75200,605600
06/21/2023,MSN,75100,76200,74600,76100,1015400
06/22/2023,MSN,76100,76500,75800,76300,850900
06/23/2023,MSN,76100,77800,75700,77300,1600600
06/26/2023,MSN,78000,79000,77000,77700,981300
06/27/2023,MSN,77800,78000,76900,77700,685500
06/28/2023,MSN,77900,77900,76700,77000,691700
06/29/2023,MSN,76800,76800,75400,75400,1147500
06/30/2023,MSN,75400,76200,75200,75200,866600
07/03/2023,MSN,75200,76000,75200,75400,646200
07/04/2023,MSN,75400,75900,75300,75600,823200
07/05/2023,MSN,75900,76300,75500,75800,1395400
07/06/2023,MSN,75500,76100,75500,76000,964100
07/07/2023,MSN,76200,76200,75200,75200,1421500
07/10/2023,MSN,75400,77900,75400,77900,2345800
07/11/2023,MSN,78100,80100,78100,79200,2849800
07/12/2023,MSN,80100,80100,79000,79500,1607300
07/13/2023,MSN,79600,81900,79500,81800,2671400
07/14/2023,MSN,82000,82700,80700,81800,1690600
07/17/2023,MSN,81800,81800,80500,80700,1453800
07/18/2023,MSN,80600,81300,80200,80500,1274400
07/19/2023,MSN,80600,81300,80500,80800,1370700
07/20/2023,MSN,80900,80900,79100,79500,2335700
07/21/2023,MSN,79500,83000,79500,83000,2083200
07/24/2023,MSN,84600,84700,83200,84000,2678700
07/25/2023,MSN,84100,84500,83000,83400,1938900
07/26/2023,MSN,83400,85200,83200,84600,1719300
07/27/2023,MSN,84500,84700,84000,84200,1846200
07/28/2023,MSN,84200,86200,84000,86100,2241800
07/31/2023,MSN,87000,88200,86800,87300,2580800
08/01/2023,MSN,87600,87600,86400,86700,1843700
08/02/2023,MSN,86400,86400,85100,85200,2264000
08/03/2023,MSN,85500,86600,85200,86100,1880500
08/04/2023,MSN,86300,86700,85700,86300,2037600
08/07/2023,MSN,86700,88200,86000,88200,2407300
08/08/2023,MSN,89300,89400,87900,89200,2451900
08/09/2023,MSN,89000,89000,87800,88000,2415600
08/10/2023,MSN,87300,87900,83000,83000,4724500
08/11/2023,MSN,82800,85000,82500,84500,2070900
08/14/2023,MSN,84500,84500,82200,82200,2720900
08/15/2023,MSN,82500,83800,81400,82400,2240300
08/16/2023,MSN,82300,82400,81200,81800,1866300
08/17/2023,MSN,81800,82800,81400,82100,1885500
08/18/2023,MSN,82100,82400,77800,79000,4020300
08/21/2023,MSN,78300,79800,78300,78400,2250500
08/22/2023,MSN,78500,78900,76300,77700,1849900
08/23/2023,MSN,78000,78600,77000,77500,1456000
08/24/2023,MSN,77300,80000,77300,80000,1756900
