<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,MWG,38650,38800,38200,38250,1467700
05/24/2023,MWG,38400,38450,37900,37950,1246300
05/25/2023,MWG,37950,38400,37800,38000,1477500
05/26/2023,MWG,38050,38400,38000,38200,882500
05/29/2023,MWG,38450,38700,38150,38700,2263500
05/30/2023,MWG,38850,39800,38850,39400,4818400
05/31/2023,MWG,39300,39450,38950,39200,1975100
06/01/2023,MWG,39350,39500,38700,39300,2907500
06/02/2023,MWG,39450,40850,39200,40800,5707900
06/05/2023,MWG,41000,41600,40800,41200,6617800
06/06/2023,MWG,41200,42050,41050,41800,4665200
06/07/2023,MWG,41800,41950,41050,41800,4745100
06/08/2023,MWG,42000,42000,40600,40650,4513900
06/09/2023,MWG,41000,41400,40500,41400,4124000
06/12/2023,MWG,41650,43000,41500,43000,7248100
06/13/2023,MWG,43400,43400,42600,43000,3399100
06/14/2023,MWG,43000,43000,42050,42050,3321400
06/15/2023,MWG,42050,42400,41450,41700,2810300
06/16/2023,MWG,41950,42300,41150,41350,4410000
06/19/2023,MWG,41350,41700,41100,41500,2063100
06/20/2023,MWG,41600,42500,41600,42500,2476500
06/21/2023,MWG,42500,42700,42200,42700,2565900
06/22/2023,MWG,42850,43650,42350,43050,4105500
06/23/2023,MWG,43050,43200,42700,42900,2158100
06/26/2023,MWG,43550,44500,42600,44350,5457500
06/27/2023,MWG,44350,44900,43750,44200,2478000
06/28/2023,MWG,44200,44450,43200,43900,3989700
06/29/2023,MWG,43500,43900,42700,42700,3289500
06/30/2023,MWG,42700,43900,42500,43300,3505400
07/03/2023,MWG,43450,43650,42800,43000,1799500
07/04/2023,MWG,42900,43650,42650,43250,4437300
07/05/2023,MWG,43450,44450,43350,43350,7263000
07/06/2023,MWG,43400,43750,42850,43200,4541700
07/07/2023,MWG,43050,45500,43050,45500,7401500
07/10/2023,MWG,46050,47750,45800,47750,10232900
07/11/2023,MWG,47600,48800,47350,48800,8177100
07/12/2023,MWG,48350,49300,48200,49150,4791400
07/13/2023,MWG,49200,49900,49150,49350,4813500
07/14/2023,MWG,49350,49450,48500,49450,5904700
07/17/2023,MWG,49500,49850,48650,48650,2785300
07/18/2023,MWG,48400,48600,47750,48050,4613000
07/19/2023,MWG,48400,48950,47950,48500,3483900
07/20/2023,MWG,48400,49500,48400,49100,5454300
07/21/2023,MWG,49100,52500,48950,52500,11731700
07/24/2023,MWG,53000,54500,52000,54500,4072400
07/25/2023,MWG,54500,54500,52900,53600,4429400
07/26/2023,MWG,53600,54200,52000,52600,5446900
07/27/2023,MWG,52400,54500,52200,54100,5823100
07/28/2023,MWG,53900,54900,53200,54500,3871700
07/31/2023,MWG,54000,54200,52600,53700,7864600
08/01/2023,MWG,54100,54100,51700,51700,7531800
08/02/2023,MWG,51700,52500,51600,51700,5318300
08/03/2023,MWG,51800,53700,51400,52700,7997000
08/04/2023,MWG,53000,53200,52300,53000,7529400
08/07/2023,MWG,53700,54900,53300,53800,6494400
08/08/2023,MWG,54000,54300,53400,53600,5735000
08/09/2023,MWG,53400,53400,52000,52600,8966000
08/10/2023,MWG,53000,53000,51700,52000,4979900
08/11/2023,MWG,52200,53300,51000,53300,6318800
08/14/2023,MWG,53900,54300,52600,54200,9615900
08/15/2023,MWG,54600,55900,54000,54000,8379700
08/16/2023,MWG,54000,54300,53000,53800,5141100
08/17/2023,MWG,54100,55200,53400,53900,7226900
08/18/2023,MWG,53900,53900,50200,50200,14262600
08/21/2023,MWG,50000,50500,48750,49000,7064800
08/22/2023,MWG,49100,50200,47350,50000,10145800
08/23/2023,MWG,50700,50700,49200,49700,4957900
08/24/2023,MWG,49700,50800,49700,50300,5727600
08/25/2023,MWG,50300,51400,50000,50500,7139000
08/28/2023,MWG,50900,51900,50400,51700,8495500
08/29/2023,MWG,51800,53200,51500,52900,8303900
08/30/2023,MWG,53000,54500,52900,53800,7312500
08/31/2023,MWG,54000,54400,53500,53800,5206100
09/05/2023,MWG,53800,55500,53400,54300,8353500
09/06/2023,MWG,54300,55600,53800,55000,5121300
09/07/2023,MWG,55200,55800,54300,55000,5993300
09/08/2023,MWG,54500,56500,54500,55500,7805800
09/11/2023,MWG,55800,56200,53800,54500,8457600
09/12/2023,MWG,54500,55800,54000,55800,4794300
09/13/2023,MWG,56100,59300,55500,57500,16051000
09/14/2023,MWG,57700,58500,57100,57300,8439000
09/15/2023,MWG,57500,57500,55400,55900,7838900
09/18/2023,MWG,55600,55600,54100,55000,6610200
09/19/2023,MWG,55100,55500,53000,55500,8835900
09/20/2023,MWG,55100,56200,54600,55800,6834800
09/21/2023,MWG,55800,55800,54200,54200,9500900
09/22/2023,MWG,53100,53400,51300,52100,11804800
09/25/2023,MWG,51600,53000,49900,51000,7693400
09/26/2023,MWG,51100,51700,50500,51500,8271400
09/27/2023,MWG,51100,52000,50200,52000,4904400
09/28/2023,MWG,52900,54700,52500,53000,8909300
09/29/2023,MWG,53800,53800,52600,52600,4945900
10/02/2023,MWG,52600,53000,51800,51900,4207600
10/03/2023,MWG,51500,51500,48300,49000,8976200
10/04/2023,MWG,48000,50000,48000,49200,4826800
10/05/2023,MWG,49900,49900,47000,47000,6348200
10/06/2023,MWG,46900,48500,46300,48300,5188100
10/09/2023,MWG,48350,48900,47650,47950,6457800
10/10/2023,MWG,48400,49450,48400,48850,4821300
10/11/2023,MWG,49000,49300,48600,49300,3478300
10/12/2023,MWG,49300,49500,48200,48400,13700700
10/13/2023,MWG,48500,49500,48450,49500,9845400
10/16/2023,MWG,49500,50700,48600,48600,8502700
10/17/2023,MWG,48900,48900,46300,46300,7887900
10/18/2023,MWG,46800,47000,43650,44700,11414600
10/19/2023,MWG,44200,44700,43000,43000,8072300
10/20/2023,MWG,43000,45000,43000,44700,7022500
10/23/2023,MWG,44700,44850,42600,43000,8575600
10/24/2023,MWG,43100,43600,41750,43000,8218500
10/25/2023,MWG,43000,44200,43000,43500,4769400
10/26/2023,MWG,42200,42400,40500,42000,15050000
10/27/2023,MWG,42300,42500,41400,42000,4691100
10/30/2023,MWG,41100,41750,40500,40500,4251000
10/31/2023,MWG,40400,40700,37700,37700,13210100
11/01/2023,MWG,37000,37700,35100,35100,21092800
11/02/2023,MWG,35900,37400,33600,37000,21181700
11/03/2023,MWG,37500,39200,37000,38950,12409700
11/06/2023,MWG,39000,39000,37600,38050,12639800
11/07/2023,MWG,37900,39450,37500,38200,10423200
11/08/2023,MWG,37900,39600,36700,39600,19608000
11/09/2023,MWG,40500,41350,39900,40300,12143300
11/10/2023,MWG,39750,40300,39000,39400,11053600
11/13/2023,MWG,39550,40300,39050,40000,9192300
11/14/2023,MWG,41000,42100,40800,41500,15235500
11/15/2023,MWG,42400,42500,41350,41900,10338300
11/16/2023,MWG,41500,41600,40700,41500,10534200
11/17/2023,MWG,41500,42500,40650,41400,10996900
11/20/2023,MWG,40150,41650,40150,40550,7558500
11/21/2023,MWG,41500,41500,40600,40900,5778700
11/22/2023,MWG,40800,40850,39300,39800,14503500
11/23/2023,MWG,40000,40300,37300,37300,8073600
11/24/2023,MWG,37900,38550,37150,38550,11181000
11/27/2023,MWG,38500,38550,38000,38000,5269900
11/28/2023,MWG,38050,38150,37350,38000,6131600
11/29/2023,MWG,38150,39450,38150,38800,8518200
11/30/2023,MWG,38850,39100,38500,38500,4030900
12/01/2023,MWG,38750,39000,38050,38750,4161100
12/04/2023,MWG,38900,40450,38800,39950,10597400
12/05/2023,MWG,39950,40100,39700,40000,6197600
12/06/2023,MWG,40000,41050,39950,40950,9053800
12/07/2023,MWG,41050,41100,39500,40850,10595000
12/08/2023,MWG,40800,43000,40400,42600,16804000
12/11/2023,MWG,42600,42650,41900,42500,6207500
12/12/2023,MWG,42500,42600,42100,42500,5956500
12/13/2023,MWG,42800,43600,41550,41700,10863600
12/14/2023,MWG,42100,42300,41400,41600,6544400
12/15/2023,MWG,41600,41600,40500,40750,9350200
12/18/2023,MWG,40950,40950,39500,39600,8699600
12/19/2023,MWG,39500,40900,39200,40650,5738900
12/20/2023,MWG,40650,42400,40500,42400,12451800
12/21/2023,MWG,42200,42700,41850,42650,7205700
12/22/2023,MWG,42450,42650,42000,42350,6074600
12/25/2023,MWG,42350,43700,42350,42650,8477900
12/26/2023,MWG,42550,43150,42350,42700,6768400
12/27/2023,MWG,42700,43050,42550,42850,5243000
12/28/2023,MWG,42850,43250,42800,43050,6371500
12/29/2023,MWG,43200,43300,42650,42800,4181100
01/02/2024,MWG,43100,43300,42150,42450,7140400
01/03/2024,MWG,42400,43450,42000,43200,6083900
01/04/2024,MWG,43200,43800,43000,43200,8516100
01/05/2024,MWG,43200,44100,43000,43850,9042100
01/08/2024,MWG,44300,44300,43200,43200,6213200
01/09/2024,MWG,43150,43200,42400,42700,9017100
01/10/2024,MWG,42700,42900,41900,42250,6770700
01/11/2024,MWG,42250,43150,42200,42450,4992900
01/12/2024,MWG,41850,42600,41800,41900,7139700
01/15/2024,MWG,42550,43300,42250,42900,8986100
01/16/2024,MWG,42900,44400,42800,44300,17419100
01/17/2024,MWG,44300,45600,44300,44900,12486000
01/18/2024,MWG,44900,45850,44600,45850,8902000
01/19/2024,MWG,46000,46700,45300,46050,10717800
01/22/2024,MWG,46100,46300,45150,46150,7235900
01/23/2024,MWG,46150,46150,45250,45400,6100600
01/24/2024,MWG,45200,45450,44350,44400,9683400
01/25/2024,MWG,44250,45200,44100,45200,7530100
01/26/2024,MWG,45000,45500,44750,44900,3781900
01/29/2024,MWG,44950,45150,44500,44600,4128300
01/30/2024,MWG,44600,45450,44500,45400,7138200
01/31/2024,MWG,45700,45900,44650,45000,8743600
02/01/2024,MWG,45000,46700,45000,46200,11303100
02/02/2024,MWG,46500,47400,46100,47400,11946800
02/05/2024,MWG,47500,47600,46800,47400,7536900
02/06/2024,MWG,47500,47500,46800,47000,5404000
02/07/2024,MWG,46950,47050,46450,46600,5707100
02/15/2024,MWG,46950,47000,45850,45850,9340100
02/16/2024,MWG,46400,46600,45800,46300,5001500
02/19/2024,MWG,46500,47200,46150,46800,7504700
02/20/2024,MWG,46950,46950,46000,46800,7870400
02/21/2024,MWG,46700,46700,46000,46100,6479800
02/22/2024,MWG,46300,46300,45200,45300,11202700
02/23/2024,MWG,45300,45550,43950,44000,17637600
02/26/2024,MWG,44000,44500,43050,44350,13530900
02/27/2024,MWG,44700,45200,44400,44750,9636200
02/28/2024,MWG,45000,45850,44750,45300,13790900
02/29/2024,MWG,46400,47000,46000,46200,13891900
03/01/2024,MWG,46550,47300,46100,46600,15362500
03/04/2024,MWG,46600,47950,46600,47400,16593900
03/05/2024,MWG,47600,50000,47500,50000,22380300
03/06/2024,MWG,50000,50300,48300,48700,15082600
03/07/2024,MWG,48700,49250,48100,49000,9439900
03/08/2024,MWG,49250,49250,47000,47750,20599700
03/11/2024,MWG,47500,48300,46250,46400,13804500
03/12/2024,MWG,46150,47900,46050,46750,16650100
03/13/2024,MWG,46800,48700,46800,48550,8934000
03/14/2024,MWG,48800,49000,47100,47250,13304100
03/15/2024,MWG,47250,47700,46550,47350,8865700
03/18/2024,MWG,47200,47950,45650,45900,12153200
03/19/2024,MWG,46000,46400,45350,45500,8063800
03/20/2024,MWG,45600,48650,45600,48000,20639900
03/21/2024,MWG,48500,48950,48000,48500,9096600
03/22/2024,MWG,48700,49400,48000,49100,12080800
03/25/2024,MWG,49000,50300,48300,48300,10366400
03/26/2024,MWG,48300,48900,47800,48650,7523200
03/27/2024,MWG,48800,51400,48550,50700,12737300
03/28/2024,MWG,50800,52200,50400,51000,11651700
03/29/2024,MWG,51000,52000,50800,51100,11812000
04/01/2024,MWG,50800,52600,50700,51400,13699100
04/02/2024,MWG,51000,51600,49950,51600,12311500
04/03/2024,MWG,51000,51200,49900,50200,14384300
04/04/2024,MWG,50000,50700,49000,50700,13048500
04/05/2024,MWG,50000,51500,49450,51000,8145300
04/08/2024,MWG,51000,51000,49800,50000,6085000
04/09/2024,MWG,50000,53100,49800,52800,19487100
04/10/2024,MWG,52900,53200,51700,52000,10159900
04/11/2024,MWG,51200,52800,51200,52300,6968900
04/12/2024,MWG,52300,52600,51600,52000,6665600
04/15/2024,MWG,51700,52000,49500,49900,16505200
04/16/2024,MWG,49500,50000,48700,49900,11616300
04/17/2024,MWG,50400,50400,48950,49400,6951200
04/19/2024,MWG,49250,49300,48050,48200,9473100
04/22/2024,MWG,49200,49400,48150,48600,12292300
04/23/2024,MWG,49100,50300,48650,49800,18043000
04/24/2024,MWG,50200,52300,49850,52300,11530800
04/25/2024,MWG,52100,53800,51400,53800,19317400
04/26/2024,MWG,53500,55000,53000,54900,11864700
05/02/2024,MWG,56000,56800,54700,55600,21954900
05/03/2024,MWG,55700,57200,55000,55700,29616700
05/06/2024,MWG,56100,58800,55800,58300,11257200
05/07/2024,MWG,58800,59500,57500,59300,9460000
05/08/2024,MWG,58600,59300,58200,59100,8126500
05/09/2024,MWG,59000,59200,58400,58900,10475400
05/10/2024,MWG,58800,59000,57400,58900,9750700
05/13/2024,MWG,58900,58900,58000,58300,7241900
05/14/2024,MWG,58500,61000,58000,60100,16222000
05/15/2024,MWG,60600,62100,60000,60800,13069600
05/16/2024,MWG,60900,61100,59700,59900,12942100
05/17/2024,MWG,59800,60300,59000,59600,8962800
05/20/2024,MWG,60000,61600,59500,60000,9202200
05/21/2024,MWG,60600,61300,60000,60500,4730800
05/22/2024,MWG,60600,61600,59600,61000,8945300
05/23/2024,MWG,60700,62000,60000,62000,8859900
