<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,PNJ,73300,73500,72100,72200,636900
05/24/2023,PNJ,72700,72700,71400,71500,437200
05/25/2023,PNJ,71300,71800,71000,71200,389000
05/26/2023,PNJ,71900,72100,71300,72000,296500
05/29/2023,PNJ,72100,72400,71100,71400,276500
05/30/2023,PNJ,71400,71800,70900,71100,497900
05/31/2023,PNJ,71200,71300,70800,70900,328600
06/01/2023,PNJ,70900,71100,70100,70300,357000
06/02/2023,PNJ,70900,73000,70400,73000,779700
06/05/2023,PNJ,74300,74300,73000,73700,553900
06/06/2023,PNJ,73100,73400,72400,72800,633400
06/07/2023,PNJ,72800,72800,71900,72600,767100
06/08/2023,PNJ,72600,72800,72000,72200,511900
06/09/2023,PNJ,72200,72200,71500,72000,715300
06/12/2023,PNJ,71700,72500,71400,72500,579100
06/13/2023,PNJ,72800,74500,72700,73300,1436700
06/14/2023,PNJ,73300,74000,72800,72800,506900
06/15/2023,PNJ,72700,73500,72500,73300,504900
06/16/2023,PNJ,73500,74000,72600,72800,1005800
06/19/2023,PNJ,72700,72800,71200,72300,864000
06/20/2023,PNJ,72300,72300,71000,72300,1044200
06/21/2023,PNJ,72200,73000,71600,72800,807300
06/22/2023,PNJ,73200,74500,73200,74500,1305700
06/23/2023,PNJ,74500,75900,74200,75800,1296800
06/26/2023,PNJ,75600,76400,74300,76400,820900
06/27/2023,PNJ,76400,76400,74500,75500,797700
06/28/2023,PNJ,75500,75700,74500,74800,702400
06/29/2023,PNJ,74800,75800,74000,75000,1116900
06/30/2023,PNJ,75200,75200,73800,75000,1239300
07/03/2023,PNJ,75100,75100,73600,74000,1031000
07/04/2023,PNJ,74000,74200,73600,74000,852500
07/05/2023,PNJ,74300,74900,73700,73700,1309300
07/06/2023,PNJ,73700,73900,72600,72600,1152400
07/07/2023,PNJ,72600,73200,71800,71800,1310100
07/10/2023,PNJ,73700,73900,72300,73700,1085300
07/11/2023,PNJ,73700,74800,73700,74500,1309300
07/12/2023,PNJ,74700,74700,73800,73800,920500
07/13/2023,PNJ,74200,78100,74100,78000,3894700
07/14/2023,PNJ,80200,80200,77900,78500,1447100
07/17/2023,PNJ,78800,80600,78400,80300,2521400
07/18/2023,PNJ,79800,80400,79000,79700,1035100
07/19/2023,PNJ,79700,79800,78500,78600,1017200
07/20/2023,PNJ,78700,78900,78000,78900,701000
07/21/2023,PNJ,79200,80700,78700,80000,1050100
07/24/2023,PNJ,80100,80500,78900,79300,1348400
07/25/2023,PNJ,79500,81000,79000,80500,1918100
07/26/2023,PNJ,80500,82000,80100,81800,1611300
07/27/2023,PNJ,81800,81800,80200,80900,988000
07/28/2023,PNJ,81200,82800,81200,82600,1271700
07/31/2023,PNJ,82800,84100,82300,83000,1245400
08/01/2023,PNJ,82900,83400,81000,81000,2546300
08/02/2023,PNJ,81000,81500,80100,81500,434600
08/03/2023,PNJ,81500,82100,80400,81300,555500
08/04/2023,PNJ,81300,81600,80200,80800,1237200
08/07/2023,PNJ,80900,82200,80600,82200,618400
08/08/2023,PNJ,82600,82600,80900,81400,578200
08/09/2023,PNJ,81400,81400,80300,80300,596700
08/10/2023,PNJ,80300,80500,78900,79000,1184900
08/11/2023,PNJ,79200,80600,79000,79400,568900
