<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,VCB,93000,93600,92100,92800,568800
05/24/2023,VCB,92800,92800,91900,92600,342200
05/25/2023,VCB,92600,94000,91400,93200,606600
05/26/2023,VCB,93200,93500,92000,92000,283700
05/29/2023,VCB,92000,95000,92000,93100,590500
05/30/2023,VCB,93100,94800,92400,94500,564500
05/31/2023,VCB,93900,94100,93100,94000,380100
06/01/2023,VCB,94600,94600,93200,93900,646300
06/02/2023,VCB,93900,95000,93300,94900,737800
06/05/2023,VCB,95200,98700,95200,98000,1297800
06/06/2023,VCB,98000,99000,96500,99000,759500
06/07/2023,VCB,99000,99000,97000,97000,749600
06/08/2023,VCB,97000,101700,97000,100000,1339400
06/09/2023,VCB,100000,102000,99000,100500,820200
06/12/2023,VCB,99900,101500,98100,101000,435100
06/13/2023,VCB,100000,103000,99700,102500,838900
06/14/2023,VCB,102400,104000,101500,102600,840500
06/15/2023,VCB,102500,103700,101600,103500,912200
06/16/2023,VCB,104200,106400,103200,105000,1331800
06/19/2023,VCB,103600,104100,101700,101700,1139900
06/20/2023,VCB,101100,101100,99800,99900,1781600
06/21/2023,VCB,99700,100500,99700,100000,1187900
06/22/2023,VCB,102000,102000,99900,100400,716500
06/23/2023,VCB,100400,100400,99500,99900,705200
06/26/2023,VCB,99100,100900,99100,100000,807200
06/27/2023,VCB,100000,101000,99700,100000,685900
06/28/2023,VCB,100000,102200,99800,101100,821200
06/29/2023,VCB,101800,103000,101100,101900,640600
06/30/2023,VCB,101100,101800,100000,100000,556600
07/03/2023,VCB,100000,100800,99800,100000,490100
07/04/2023,VCB,100700,101900,99900,100000,682700
07/05/2023,VCB,101000,102500,100300,102000,953900
07/06/2023,VCB,102100,102200,100500,100700,1021000
07/07/2023,VCB,100500,105000,100400,105000,1064800
07/10/2023,VCB,104900,104900,102300,102700,915100
07/11/2023,VCB,101800,105000,101800,103000,887600
07/12/2023,VCB,102700,104500,102700,104000,742800
07/13/2023,VCB,105000,105000,103700,104900,928300
07/14/2023,VCB,104900,105000,104000,105000,797700
07/17/2023,VCB,105000,105000,104200,104800,791600
07/18/2023,VCB,104900,105000,104300,104300,590000
07/19/2023,VCB,104600,107100,104600,106500,926200
07/20/2023,VCB,105500,106400,103600,105000,771600
07/21/2023,VCB,105000,105000,104000,105000,663400
07/24/2023,VCB,105100,105400,104500,104600,808500
07/25/2023,VCB,90400,92500,90300,91700,2374800
07/26/2023,VCB,91900,93400,91900,93400,1146400
07/27/2023,VCB,93700,93700,92500,92700,957200
07/28/2023,VCB,92700,93000,91800,93000,1116900
07/31/2023,VCB,93000,93200,91600,91600,1468300
08/01/2023,VCB,91600,92800,91200,91200,1281600
08/02/2023,VCB,91200,91500,91000,91500,1055800
08/03/2023,VCB,91500,91500,90500,90600,837900
08/04/2023,VCB,90700,91100,90100,90100,1231600
08/07/2023,VCB,90100,90800,90000,90800,1111700
08/08/2023,VCB,90800,91200,90100,90700,823400
08/09/2023,VCB,90700,90900,90100,90200,591600
08/10/2023,VCB,90500,90500,88500,88500,1336100
08/11/2023,VCB,88500,90400,88500,90400,920800
08/14/2023,VCB,90300,90300,89000,89000,1471800
08/15/2023,VCB,90000,90000,88500,88900,1148500
08/16/2023,VCB,88800,89400,88700,89200,727300
