<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,VTK,20100,20100,20100,20100,1100
05/24/2023,VTK,21000,21000,21000,21000,128
05/25/2023,VTK,21000,21000,21000,21000,0
05/26/2023,VTK,21000,21000,20200,20200,3600
05/29/2023,VTK,20300,20300,20000,20300,4800
05/30/2023,VTK,20700,20700,20700,20700,100
05/31/2023,VTK,20500,20500,20500,20500,1000
06/01/2023,VTK,20300,20500,20300,20400,900
06/02/2023,VTK,20000,20000,20000,20000,275
06/05/2023,VTK,19700,20000,19300,19300,4395
06/06/2023,VTK,19300,19300,19100,19300,8095
06/07/2023,VTK,19300,19400,19000,19200,8453
06/08/2023,VTK,19300,19300,19100,19300,13401
06/09/2023,VTK,19900,19900,19300,19300,3306
06/12/2023,VTK,19700,19700,19500,19500,1580
06/13/2023,VTK,19300,19800,19300,19400,1436
06/14/2023,VTK,19600,19600,19200,19500,3969
06/15/2023,VTK,19200,19200,19200,19200,1922
06/16/2023,VTK,19600,19600,19100,19200,4125
06/19/2023,VTK,19400,19500,19300,19300,13719
06/20/2023,VTK,19000,19200,19000,19100,3492
06/21/2023,VTK,19200,19200,19200,19200,175
06/22/2023,VTK,19500,19500,19000,19100,2267
06/23/2023,VTK,19500,19500,19300,19400,3975
06/26/2023,VTK,19800,19900,19400,19700,2662
06/27/2023,VTK,19500,19700,19500,19700,3398
06/28/2023,VTK,19900,20200,19800,20000,14849
06/29/2023,VTK,20100,21000,20100,21000,9095
06/30/2023,VTK,19900,20900,19900,20900,643
07/03/2023,VTK,19000,19200,19000,19000,1329
07/04/2023,VTK,19400,19400,19000,19000,791
07/05/2023,VTK,19200,19500,19100,19500,2357
07/06/2023,VTK,19300,19300,19300,19300,175
07/07/2023,VTK,19000,20000,19000,20000,3131
07/10/2023,VTK,20000,20200,19900,20200,1768
07/11/2023,VTK,19700,19900,19500,19900,4600
07/12/2023,VTK,19600,19600,19400,19400,3433
07/13/2023,VTK,19300,19300,19300,19300,1298
07/14/2023,VTK,19700,20200,19700,20000,6629
07/17/2023,VTK,20100,20100,19700,19900,6829
07/18/2023,VTK,20200,20200,19800,19800,3212
07/19/2023,VTK,19900,19900,19900,19800,161
07/20/2023,VTK,19900,19900,19900,19800,12
07/21/2023,VTK,19800,20200,19600,20100,16646
